Etichetta	Valore		Spike	ChangePoint	p-value	martingale-value
1978/03		1000,00		False	False		0,50	0,00
1979/03		947,00		False	False		0,00	0,43
1980/03		1054,00		False	False		0,01	14,18
1981/03		1167,00		False	False		0,00	2445,31
1982/03		1144,00		False	False		0,20	5627,31
1983/03		1164,00		False	False		0,21	12358,08
1984/03		1084,00		False	False		0,50	12361,77
1985/03		1117,00		False	False		0,39	15460,58
1986/03		1334,00		False	False		0,00	1189778,99
1987/03		1329,00		False	True		0,08	6212926,85
1988/03		1487,00		True	False		0,02	111125182,18
1989/03		1452,00		False	False		0,11	50,51
1990/03		1357,00		False	False		0,28	2,62
1991/03		1568,00		False	False		0,06	0,10
1992/03		1547,00		False	False		0,15	0,13
1993/03		1331,00		False	False		0,47	0,06
1994/03		1539,00		False	False		0,21	0,13
1995/03		1502,00		False	False		0,32	0,16
1996/03		1579,00		False	False		0,16	0,01
1997/03		1693,00		True	False		0,03	0,01
1998/03		1703,00		False	False		0,08	0,00
1999/03		1619,00		False	False		0,30	0,00
2000/03		1669,00		False	False		0,23	0,00
2001/03		1700,00		False	False		0,20	0,00
2002/03		1635,00		False	False		0,40	0,00
2003/03		1595,00		False	False		0,46	0,00
2004/03		1745,00		False	False		0,09	0,00
2005/03		1669,00		False	False		0,42	0,00
2006/03		1731,00		False	False		0,16	0,00
2007/03		1777,00		False	False		0,06	0,00
2008/03		1457,00		True	False		0,00	0,02
2009/03		1577,00		False	False		0,23	0,02
2010/03		1579,00		False	False		0,26	0,02
2011/03		1450,00		False	False		0,07	0,04
2012/03		1621,00		False	False		0,49	0,04
2013/03		1688,00		False	False		0,34	0,05
2014/03		1636,00		False	False		0,50	0,01
2015/03		1709,00		False	False		0,27	0,02
2016/03		1733,00		False	False		0,24	0,01
2017/03		1741,00		False	False		0,22	0,00
2018/03		1731,00		False	False		0,22	0,00
